AGGROUP;DATA_PROPOSTA;DATA_MES;COUNT;MOTOR
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;05JAN2021:00:00:00;05JAN2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;06JAN2021:00:00:00;06JAN2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;11JAN2021:00:00:00;11JAN2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;12JAN2021:00:00:00;12JAN2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;13JAN2021:00:00:00;13JAN2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;14JAN2021:00:00:00;14JAN2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;15JAN2021:00:00:00;15JAN2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;18JAN2021:00:00:00;18JAN2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;19JAN2021:00:00:00;19JAN2021:00:00:00;4;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;20JAN2021:00:00:00;20JAN2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;21JAN2021:00:00:00;21JAN2021:00:00:00;3;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;26JAN2021:00:00:00;26JAN2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;27JAN2021:00:00:00;27JAN2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;28JAN2021:00:00:00;28JAN2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;29JAN2021:00:00:00;29JAN2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;31JAN2021:00:00:00;31JAN2021:00:00:00;6;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;01FEB2021:00:00:00;01FEB2021:00:00:00;3;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;02FEB2021:00:00:00;02FEB2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;04FEB2021:00:00:00;04FEB2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;08FEB2021:00:00:00;08FEB2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;09FEB2021:00:00:00;09FEB2021:00:00:00;4;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;11FEB2021:00:00:00;11FEB2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;12FEB2021:00:00:00;12FEB2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;19FEB2021:00:00:00;19FEB2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;22FEB2021:00:00:00;22FEB2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;23FEB2021:00:00:00;23FEB2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;24FEB2021:00:00:00;24FEB2021:00:00:00;3;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;26FEB2021:00:00:00;26FEB2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;02MAR2021:00:00:00;02MAR2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;04MAR2021:00:00:00;04MAR2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;10MAR2021:00:00:00;10MAR2021:00:00:00;4;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;12MAR2021:00:00:00;12MAR2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;15MAR2021:00:00:00;15MAR2021:00:00:00;5;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;16MAR2021:00:00:00;16MAR2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;17MAR2021:00:00:00;17MAR2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;18MAR2021:00:00:00;18MAR2021:00:00:00;3;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;23MAR2021:00:00:00;23MAR2021:00:00:00;5;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;24MAR2021:00:00:00;24MAR2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;25MAR2021:00:00:00;25MAR2021:00:00:00;3;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;29MAR2021:00:00:00;29MAR2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;30MAR2021:00:00:00;30MAR2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;05APR2021:00:00:00;05APR2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;06APR2021:00:00:00;06APR2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;07APR2021:00:00:00;07APR2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;08APR2021:00:00:00;08APR2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;11APR2021:00:00:00;11APR2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;12APR2021:00:00:00;12APR2021:00:00:00;6;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;13APR2021:00:00:00;13APR2021:00:00:00;4;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;15APR2021:00:00:00;15APR2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;04MAY2021:00:00:00;04MAY2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;05MAY2021:00:00:00;05MAY2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;06MAY2021:00:00:00;06MAY2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;10MAY2021:00:00:00;10MAY2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;11MAY2021:00:00:00;11MAY2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;12MAY2021:00:00:00;12MAY2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;13MAY2021:00:00:00;13MAY2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;21MAY2021:00:00:00;21MAY2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;25MAY2021:00:00:00;25MAY2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;26MAY2021:00:00:00;26MAY2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;28MAY2021:00:00:00;28MAY2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;31MAY2021:00:00:00;31MAY2021:00:00:00;2;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;01JUN2021:00:00:00;01JUN2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;04JUN2021:00:00:00;04JUN2021:00:00:00;1;Fopag
ManutencaoSobDemandaNovo - SerasaFopag - Approve -;06JUN2021:00:00:00;06JUN2021:00:00:00;1;Fopag
